6
32
0	6	3	16,14
0	6	2	14,16,8,18
0	6	3	3,5,10,14
0	6	1	18,19,17,16
0	6	4	16,9,3
0	6	5	18,17,8,9,3
6	1	4	6,5,9,4
6	1	5	4,3,2
6	1	5	2,3,5,6
6	1	2	3,2
6	2	2	11,15,17,18
6	2	2	16,9,10
6	2	3	18,8,16
6	2	2	10,11
6	2	2	10,9,8,18
6	2	4	11,14,16
6	3	1	10,12
6	3	5	13,12
6	3	3	12,15
6	3	1	15,12,13
6	3	2	13,12,10
6	4	4	7,8,18
6	4	3	18,8,9
6	4	5	9,8,7
6	4	2	15,16,9
6	4	5	15,17,19,7
6	5	4	7,8,16
6	5	4	1,4,8,16
6	5	3	1,7
6	7	3	2,1,7,8
6	7	3	8,18,19
6	7	2	2,1,19
6	8	3	9,14,11
6	8	2	17,15,11
6	8	4	10,11
6	8	1	10,9,16,17
6	8	5	9,16,17
6	8	5	9,10
