21
23
0	4	2	3,5,10
0	4	2	10,9,16
0	4	3	16,8,4,3
0	4	4	12,10
0	4	4	12,10,9,3
1	4	1	1,4,8,16
1	4	3	8,16
1	4	5	17,8,4,1
1	4	3	17,16
2	4	5	13,12,10,9
2	4	3	20,17,8,9
2	4	5	5,6,13
2	4	1	5,9
3	4	4	16,9,4,3
3	4	3	4,3
3	4	4	5,3
3	4	5	4,9,16
4	4	1	4,8
4	4	5	18,8,4
4	4	3	17,19,7,4
4	4	2	18,8
5	1	5	19,20
5	1	5	10,9,8,18,19
5	1	4	20,15,14,10
5	1	1	8,18,19
5	1	5	10,9,8
5	2	2	16,15,11
5	2	3	11,15,16,17
5	2	1	4,3,9,14,11
5	2	5	4,8,16
5	2	3	17,16
5	2	3	4,8,17
5	3	5	3,9,14
5	3	1	14,9,3,1
5	3	1	1,3
5	4	2	16,17,20
5	4	2	7,8,16,17
5	4	5	17,16
5	4	2	20,17
5	4	5	20,19,18,8,7
5	5	1	13,12
5	5	1	7,8,17,15,12
5	5	4	12,15,20,17,18
5	5	3	18,8,7
