0
42
0	3	2	15,16
0	3	4	16,9,5
0	3	1	5,10,14,15
0	4	2	3,5,10
0	4	2	10,9,16
0	4	3	16,8,4,3
0	4	4	12,10
0	4	4	12,10,9,3
0	5	3	10,11
0	5	5	13,12,11
0	5	1	10,12,13
0	6	3	15,16,9
0	6	2	3,1,7
0	6	1	7,19,17,15
0	6	1	9,3
0	8	1	14,10,9,8
0	8	2	7,8,16,14
0	8	4	15,14
0	8	3	8,7
0	10	3	11,12,13
0	10	2	19,17,15,14,11
0	10	1	9,14,11
0	10	1	13,6,5,9
0	10	2	9,8,7,19
0	13	4	20,19,18
0	13	4	17,20
0	13	2	17,18
0	14	4	7,8,16,14
0	14	2	8,9,3
0	14	3	14,10,9,8
0	14	1	7,4,3
0	15	5	3,1,19,18
0	15	3	1,3
0	15	5	19,1
0	15	5	18,19,1
0	15	4	19,18
0	17	5	15,16
0	17	1	16,14,11
0	17	3	11,15
0	19	5	5,10,12
0	19	2	12,10
0	19	3	5,10
