16
79
50
29
1	4	6	1	199	2	4
2	3	7	4	155	2	4
3	1	8	1	62	2	4
2	4	9	5	364	2	4
1	2	10	3	202	2	4
4	3	11	2	159	2	4
1	3	1	5	480	1	5
2	1	2	5	617	1	5
3	2	3	4	470	1	5
4	1	4	1	62	1	5
2	4	5	5	249	1	5
1	2	6	2	198	2	5
2	4	7	3	172	2	5
3	2	8	1	197	2	5
3	1	9	5	466	2	5
4	1	10	3	382	2	5
3	4	11	3	355	2	5
1	3	5	2	142	2	9
2	3	6	1	144	2	9
3	4	7	1	52	2	9
2	4	8	5	332	2	9
1	2	6	2	104	2	11
2	3	7	1	117	2	11
3	1	8	3	136	2	11
1	2	9	5	453	3	11
2	4	10	2	57	3	11
3	1	11	4	187	3	11
4	3	12	5	328	3	11
1	4	13	3	339	3	11
1	4	1	1	148	1	12
2	1	2	4	243	1	12
3	4	3	5	627	1	12
1	3	4	2	88	1	12
1	4	5	2	117	2	12
2	3	6	5	385	2	12
3	1	7	5	332	2	12
1	2	8	4	334	2	12
4	2	9	5	437	2	12
3	4	10	3	233	2	12
1	4	1	4	324	1	13
2	3	2	5	307	1	13
3	4	3	2	161	1	13
2	1	4	2	72	1	13
1	2	1	1	191	1	15
2	3	2	2	152	1	15
3	1	3	1	168	1	15
1	4	4	5	266	2	15
2	4	5	2	95	2	15
3	1	6	1	46	2	15
2	1	7	1	91	2	15
1	3	1	2	172	1	16
2	3	2	5	243	1	16
3	4	3	1	123	1	16
4	2	4	2	172	1	16
1	3	5	1	91	2	16
2	3	6	2	104	2	16
3	4	7	5	273	2	16
2	4	8	4	158	2	16
1	2	9	5	333	2	16
1	3	10	3	337	3	16
2	1	11	3	204	3	16
3	4	12	2	231	3	16
2	4	13	2	172	3	16
1	3	19	5	360	5	16
2	3	20	1	25	5	16
3	4	21	3	193	5	16
2	4	22	1	104	5	16
1	4	23	1	36	6	16
2	4	24	4	430	6	16
3	1	25	2	49	6	16
4	3	26	4	385	6	16
1	2	27	2	270	7	16
2	3	28	5	165	7	16
3	1	29	3	268	7	16
4	3	30	1	99	7	16
2	4	31	1	69	7	16
1	3	32	3	160	8	16
2	1	33	5	387	8	16
3	2	34	1	117	8	16
