9
66
40
26
1	2	18	3	165	5	1
2	3	19	5	283	5	1
3	1	20	3	149	5	1
4	1	21	4	325	5	1
1	4	11	4	147	3	2
2	1	12	2	159	3	2
3	4	13	1	34	3	2
1	3	14	2	185	3	2
1	3	19	5	255	5	2
2	1	20	2	98	5	2
3	2	21	1	46	5	2
4	1	22	3	264	5	2
1	4	6	1	199	2	4
2	3	7	4	155	2	4
3	1	8	1	62	2	4
2	4	9	5	364	2	4
1	2	10	3	202	2	4
4	3	11	2	159	2	4
1	3	12	3	152	3	4
2	3	13	4	232	3	4
3	4	14	2	268	3	4
1	2	15	3	275	3	4
1	3	1	5	480	1	5
2	1	2	5	617	1	5
3	2	3	4	470	1	5
4	1	4	1	62	1	5
2	4	5	5	249	1	5
1	2	6	2	198	2	5
2	4	7	3	172	2	5
3	2	8	1	197	2	5
3	1	9	5	466	2	5
4	1	10	3	382	2	5
3	4	11	3	355	2	5
1	2	12	5	168	3	5
2	3	13	1	145	3	5
3	1	14	1	106	3	5
1	3	20	1	25	5	5
2	3	21	1	172	5	5
3	4	22	4	201	5	5
4	2	23	3	330	5	5
1	3	1	1	112	1	9
2	4	2	5	435	1	9
3	4	3	2	73	1	9
1	4	4	2	117	1	9
1	3	5	2	142	2	9
2	3	6	1	144	2	9
3	4	7	1	52	2	9
2	4	8	5	332	2	9
1	2	9	3	110	3	9
2	3	10	5	264	3	9
1	3	11	1	94	3	9
1	3	12	5	201	4	9
2	1	13	4	383	4	9
3	4	14	4	250	4	9
4	2	15	3	388	4	9
4	1	16	1	82	4	9
3	2	17	2	190	4	9
1	2	18	2	59	5	9
2	4	19	3	204	5	9
3	4	20	3	136	5	9
3	2	21	2	146	5	9
1	4	22	3	52	6	9
2	4	23	3	139	6	9
3	4	24	5	342	6	9
2	3	25	5	220	6	9
1	2	26	5	207	6	9
