26
25
0	3	2	15,16
0	3	4	16,9,5
0	3	1	5,10,14,15
0	6	3	15,16,9
0	6	2	3,1,7
0	6	1	7,19,17,15
0	6	1	9,3
0	8	1	14,10,9,8
0	8	2	7,8,16,14
0	8	4	15,14
0	8	3	8,7
0	10	3	11,12,13
0	10	2	19,17,15,14,11
0	10	1	9,14,11
0	10	1	13,6,5,9
0	10	2	9,8,7,19
0	13	4	20,19,18
0	13	4	17,20
0	13	2	17,18
0	19	5	5,10,12
0	19	2	12,10
0	19	3	5,10
1	3	5	12,11,14,9,4
1	3	2	18,8,9
1	3	2	9,4
1	3	3	18,8,4
2	2	3	3,9
2	2	2	9,4
2	2	1	8,4
2	2	5	3,4,8
2	3	4	15,16,8,7
2	3	2	17,15
2	3	1	4,7
2	3	2	15,14,16,8,4
2	4	5	13,12,10,9
2	4	3	20,17,8,9
2	4	5	5,6,13
2	4	1	5,9
2	5	5	20,15,16
2	5	2	10,14,16,15,20
2	5	1	16,14,10
2	5	3	3,4,8,17,20
2	6	1	2,1,19,17,15,12
2	6	4	12,11
2	6	1	11,15
2	6	1	15,16,9,3,2
2	6	5	11,10,5,3,2
2	6	4	12,15
2	7	2	10,9
2	7	3	12,15,14,9
2	7	5	10,12
