3
43
39
4
1	2	15	2	81	4	0
2	3	16	2	196	4	0
3	1	17	3	232	4	0
4	2	18	4	210	4	0
4	1	19	4	153	4	0
1	2	1	2	219	1	1
2	3	2	1	60	1	1
3	1	3	5	348	1	1
4	1	4	2	81	1	1
4	2	5	2	110	1	1
1	4	14	1	115	4	1
2	4	15	3	205	4	1
3	1	16	5	306	4	1
3	4	17	3	75	4	1
1	2	18	3	165	5	1
2	3	19	5	283	5	1
3	1	20	3	149	5	1
4	1	21	4	325	5	1
1	4	11	4	147	3	2
2	1	12	2	159	3	2
3	4	13	1	34	3	2
1	3	14	2	185	3	2
1	4	15	5	365	4	2
2	4	16	3	292	4	2
3	1	17	5	402	4	2
3	4	18	1	139	4	2
1	3	19	5	255	5	2
2	1	20	2	98	5	2
3	2	21	1	46	5	2
4	1	22	3	264	5	2
1	2	23	1	87	6	2
2	3	24	4	74	6	2
3	4	25	1	46	6	2
4	1	26	1	96	6	2
3	1	27	5	527	6	2
2	4	28	4	375	6	2
1	3	29	2	152	7	2
2	3	30	3	270	7	2
1	2	31	5	202	7	2
1	4	17	4	291	4	3
2	4	18	3	265	4	3
3	4	19	4	203	4	3
2	1	20	5	171	4	3
