1
41
13
28
1	2	7	3	207	2	0
2	3	8	2	136	2	0
1	3	9	1	55	2	0
1	2	10	4	395	3	0
2	3	11	1	153	3	0
3	1	12	1	136	3	0
4	1	13	3	260	3	0
1	4	76	1	101	20	0
2	4	77	5	250	20	0
3	2	78	4	225	20	0
2	1	79	1	93	20	0
4	3	80	5	451	20	0
3	1	81	5	386	20	0
1	2	5	5	283	2	1
2	4	6	3	352	2	1
3	1	7	4	139	2	1
4	3	8	3	561	2	1
3	2	9	4	293	2	1
1	4	10	3	165	3	1
2	3	11	3	309	3	1
3	1	12	4	144	3	1
2	4	13	4	102	3	1
1	4	14	5	342	4	1
2	4	15	3	134	4	1
3	1	16	4	203	4	1
4	3	17	1	57	4	1
2	1	18	2	292	4	1
3	2	19	5	194	4	1
1	2	20	4	261	5	1
2	3	21	4	510	5	1
1	3	22	3	174	5	1
1	2	29	1	138	7	1
2	3	30	5	452	7	1
3	1	31	4	130	7	1
4	1	32	5	155	7	1
4	2	33	1	162	7	1
3	4	34	2	291	7	1
1	4	35	4	163	8	1
2	3	36	4	324	8	1
3	4	37	3	174	8	1
1	3	38	3	123	8	1
