23
28
0	7	5	9,8,7
0	7	5	5,9
0	7	5	5,3,1,7
0	10	4	13,6,5,3,4
0	10	4	1,4,9,10,12,13
0	10	5	4,9,16
0	10	1	4,1
0	10	5	1,4,9,16
0	12	3	15,17,18
0	12	4	18,19
0	12	4	15,17,19
0	15	2	3,2
0	15	3	2,1,7,8
0	15	2	14,10,9,3,2
0	15	1	3,4,8
0	15	1	14,9,3
0	16	5	15,20,19
0	16	5	19,7,8
0	16	2	7,19,17,15
0	16	4	7,19
0	19	4	17,20
0	19	3	20,15,14,10,5,6
0	19	2	6,13,12,15,17
1	2	5	7,1,2
1	2	3	2,1,19,20,15,11
1	2	4	1,7
1	2	3	11,15,17,19,1
1	2	4	1,2
1	3	3	6,5,3,4
1	3	3	1,4,9,10,5
1	3	4	5,6
1	3	4	1,4
1	4	5	10,11
1	4	3	20,15,11
1	4	4	14,10
1	4	1	11,14
1	4	2	20,15,14,10
1	4	5	14,15,20
1	5	4	9,8,17,20
1	5	4	20,17
1	5	3	9,16,17
1	7	1	6,5
1	7	5	5,10,12,13
1	7	4	13,6
1	7	5	10,12,13,6
1	7	1	10,5
1	7	2	13,12,10
1	8	4	16,17,18
1	8	4	2,1,7,19,20
1	8	3	20,17,18
1	8	3	16,17,19,20
